comune,elettori,votanti,percentuale
Agrigento,52894,6788,12.83
Alessandria della Rocca,4296,182,4.24
Aragona,15128,893,5.9
Bivona,3941,376,9.54
Burgio,3500,243,6.94
Calamonaci,1897,112,5.9
Caltabellotta,3890,312,8.02
Camastra,2511,248,9.88
Cammarata,5395,564,10.45
Campobello di Licata,10679,784,7.34
Canicattì,32265,3026,9.38
Casteltermini,12479,803,6.43
Castrofilippo,4133,174,4.21
Cattolica Eraclea,7058,395,5.6
Cianciana,6729,277,4.12
Comitini,1811,73,4.03
Favara,34778,2512,7.22
Grotte,9606,614,6.39
Joppolo Giancaxio,1946,133,6.83
Lampedusa e Linosa,5399,360,6.67
Licata,42703,2820,6.6
Lucca Sicula,2195,111,5.06
Menfi,12795,920,7.19
Montallegro,3664,263,7.18
Montevago,3111,258,8.29
Naro,10525,665,6.32
Palma di Montechiaro,26381,1526,5.78
Porto Empedocle,16716,1959,11.72
Racalmuto,10700,609,5.69
Raffadali,13831,1008,7.29
Ravanusa,14855,983,6.62
Realmonte,5205,457,8.78
Ribera,20181,1432,7.1
Sambuca di Sicilia,5645,586,10.38
San Biagio Platani,5740,266,4.63
San Giovanni Gemini,7412,861,11.62
Sant'Angelo Muxaro,3314,159,4.8
Santa Elisabetta,4713,167,3.54
Santa Margherita di Belice,6541,415,6.34
Santo Stefano Quisquina,4678,346,7.4
Sciacca,35783,4026,11.25
Siculiana,5591,420,7.51
Villafranca Sicula,1382,72,5.21
Acquaviva Platani,3110,100,3.22
Bompensiere,1135,52,4.58
Butera,5874,400,6.81
Caltanissetta,56558,7380,13.05
Campofranco,3201,260,8.12
Delia,6971,360,5.16
Gela,65937,6243,9.47
Marianopoli,2154,80,3.71
Mazzarino,11939,981,8.22
Milena,3867,266,6.88
Montedoro,2846,129,4.53
Mussomeli,11703,1135,9.7
Niscemi,25199,1800,7.14
Resuttano,2632,114,4.33
Riesi,15297,745,4.87
San Cataldo,24941,2077,8.33
Santa Caterina Villarmosa,6889,426,6.18
Serradifalco,8631,848,9.83
