comune,elettori,votanti,percentuale
San Marco d'Alunzio,2113,False,False
San Pier Niceto,3572,False,False
San Piero Patti,3283,False,False
San Salvatore di Fitalia,1583,False,False
San Teodoro,1314,False,False
Sant'Agata di Militello,11365,False,False
Sant'Alessio Siculo,1419,False,False
Sant'Angelo di Brolo,3405,False,False
Santa Domenica Vittoria,883,False,False
Santa Lucia del Mela,4467,False,False
Santa Marina Salina,1044,False,False
Santa Teresa di Riva,8453,False,False
Santo Stefano di Camastra,4394,False,False
Saponara,3652,False,False
Savoca,1580,False,False
Scaletta Zanclea,2129,False,False
Sinagra,3025,False,False
Spadafora,4826,False,False
Taormina,9723,False,False
Terme Vigliatore,6587,False,False
Torregrotta,6735,False,False
Torrenova,4104,False,False
Tortorici,6018,False,False
Tripi,1728,False,False
Tusa,3159,False,False
Ucria,1184,False,False
Valdina,1175,False,False
Venetico,3447,False,False
Villafranca Tirrena,7641,False,False
Alia,4200,False,False
Alimena,2614,False,False
Aliminusa,1117,False,False
Altavilla Milicia,7710,False,False
Altofonte,8492,False,False
Bagheria,49036,False,False
Balestrate,8005,False,False
Baucina,2060,False,False
Belmonte Mezzagno,9127,False,False
Bisacquino,5585,False,False
Blufi,1157,False,False
Bolognetta,3653,False,False
Bompietro,1565,False,False
Borgetto,7602,False,False
Caccamo,7485,False,False
Caltavuturo,3542,False,False
Campofelice di Fitalia,531,False,False
Campofelice di Roccella,6813,False,False
Campofiorito,1593,False,False
Camporeale,3083,False,False
Capaci,10448,False,False
Carini,34756,False,False
Castelbuono,8180,False,False
Casteldaccia,9965,False,False
Castellana Sicula,3413,False,False
Castronovo di Sicilia,2930,False,False
Cefalà Diana,978,False,False
Cefalù,13829,False,False
Cerda,4356,False,False
Chiusa Sclafani,3072,False,False
Ciminna,5167,False,False
Cinisi,11742,False,False
Collesano,4024,False,False
Contessa Entellina,2083,False,False
Corleone,10798,False,False
Ficarazzi,10638,False,False
Gangi,8447,False,False
Geraci Siculo,1656,False,False
Giardinello,2059,False,False
Giuliana,1882,False,False
Godrano,1078,False,False
Gratteri,917,False,False
Isnello,1579,False,False
Isola delle Femmine,6119,False,False
Lascari,3300,False,False
Lercara Friddi,12102,False,False
Marineo,5961,False,False
Mezzojuso,2737,False,False
Misilmeri,23963,False,False
Monreale,32678,False,False
Montelepre,5880,False,False
Montemaggiore Belsito,3109,False,False
Palazzo Adriano,2068,False,False
Palermo,556900,False,False
Partinico,28566,False,False
Petralia Soprana,3019,False,False
Petralia Sottana,2917,False,False
Piana degli Albanesi,5738,False,False
Polizzi Generosa,3459,False,False
Pollina,3686,False,False
Prizzi,4497,False,False
Roccamena,1815,False,False
Roccapalumba,3337,False,False
San Cipirello,4983,False,False
San Giuseppe Jato,8387,False,False
San Mauro Castelverde,1975,False,False
Santa Cristina Gela,1073,False,False
Santa Flavia,10167,False,False
Sciara,2705,False,False
Scillato,622,False,False
Sclafani Bagni,393,False,False
Termini Imerese,23322,False,False
Terrasini,11627,False,False
Torretta,4467,False,False
Trabia,9150,False,False
Trappeto,3755,False,False
Ustica,1218,False,False
Valledolmo,3617,False,False
Ventimiglia di Sicilia,2242,False,False
Vicari,2786,False,False
Villabate,16077,False,False
Villafrati,2936,False,False
Acate,7109,False,False
Chiaramonte Gulfi,7526,False,False
Comiso,25939,False,False
Giarratana,3440,False,False
Ispica,13787,False,False
Modica,47024,False,False
Monterosso Almo,3172,False,False
Pozzallo,17447,False,False
Ragusa,61957,False,False
Santa Croce Camerina,7947,False,False
Scicli,21962,False,False
Vittoria,50257,False,False
Augusta,32285,False,False
Avola,27741,False,False
Buccheri,2734,False,False
Buscemi,1121,False,False
Canicattini Bagni,7143,False,False
Carlentini,15688,False,False
Cassaro,904,False,False
